timestamp_sec,timestamp_nanosec,pos_x,pos_y,orient_x,orient_y,orient_z,orient_w
1775878288,636364037,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,656606384,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,675819306,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,695686576,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,715573723,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,735431452,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,755480099,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,778270567,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,795142387,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,815044143,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,834929601,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,854821121,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,874732915,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,894540057,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,914404942,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,939221066,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,954130140,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,974055252,0.0,0.0,0.0,0.0,0.0,1.0
1775878288,993892508,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,13769091,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,37204295,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,53596401,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,73778258,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,98602381,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,113278910,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,133168138,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,153083932,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,175287129,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,192812837,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,212744452,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,232648604,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,263088599,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,272398305,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,294990645,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,312186710,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,332236531,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,356888021,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,372010210,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,391841430,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,411775433,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,431671824,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,451621150,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,471609679,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,491615421,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,513483303,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,531124829,0.0,0.0,0.0,0.0,0.0,1.0
1775878289,552251437,0.0,0.0,0.0,0.0,0.0,1.0
