timestamp_sec,timestamp_nanosec,frame_id,pos_x,pos_y,orient_x,orient_y,orient_z,orient_w
1775270374,54275552,map,-29.86978201445371,-0.8142366874756773,0.0,0.0,-0.02693270191448712,0.9996372489896449
1775270374,78365056,map,-29.869777821589924,-0.8142374847875077,0.0,0.0,-0.02693412606277624,0.9996372106185496
1775270374,128652128,map,-29.880758869221143,-0.8192068910445414,0.0,0.0,-0.031111756760122358,0.9995159121251141
1775270374,146535968,map,-29.879609728172312,-0.8243681611590348,0.0,0.0,-0.029659607239874677,0.9995600570742993
1775270374,163575968,map,-29.838828077301585,-0.8271481941493625,0.0,0.0,-0.029468506085210712,0.9995657092703341
1775270374,177591360,map,-29.831929769140952,-0.8211896609728185,0.0,0.0,-0.03071142934450953,0.9995282927999674
1775270374,190686208,map,-29.813335943617226,-0.827764531800632,0.0,0.0,-0.03173701338908534,0.9994962541106099
1775270374,249426496,map,-29.81332730456904,-0.8277768950329307,0.0,0.0,-0.031737433829466456,0.9994962407602743
1775270374,255418464,map,-29.81332074963885,-0.8277613791681546,0.0,0.0,-0.03173850338582355,0.9994962067976186
1775270374,261371456,map,-29.81331487098086,-0.8277568508757106,0.0,0.0,-0.03173356462993004,0.999496363613134
1775270374,269966752,map,-29.81329498210382,-0.8277704420655982,0.0,0.0,-0.03172898545251202,0.9994965089894783
1775270374,449660000,map,-29.81330223458802,-0.8277615171702503,0.0,0.0,-0.031725273268223476,0.999496626825752
1775270374,458878336,map,-29.81330904291888,-0.8277424487112431,0.0,0.0,-0.03173622543094525,0.9994962791303409
1775270374,465440480,map,-29.813333680877093,-0.8277401576491173,0.0,0.0,-0.031739602442032847,0.9994961718970322
1775270374,657448448,map,-29.813336443653096,-0.8277393990508993,0.0,0.0,-0.031741221178411945,0.9994961204917722
1775270374,682142816,map,-29.754060004248778,-0.8209192649969722,0.0,0.0,-0.036307541494963604,0.9993406638532185
1775270374,699111552,map,-29.748674222115138,-0.8163385141406506,0.0,0.0,-0.028522731837329316,0.9995931441184137
1775270374,712861568,map,-29.736382907436205,-0.8000920733716613,0.0,0.0,-0.02750198747106526,0.9996217488055876
1775270374,729890720,map,-29.7202009481094,-0.8213424162295521,0.0,0.0,-0.026476943318127503,0.9996494242845982
1775270374,745317312,map,-29.72609809695657,-0.8277892763104632,0.0,0.0,-0.024945209447777488,0.9996888198462592
1775270374,759683520,map,-29.721940897556507,-0.8166445491840296,0.0,0.0,-0.02853055299244958,0.9995929209162823
1775270374,772283840,map,-29.693589443805923,-0.8240002899043775,0.0,0.0,-0.03240480686979667,0.9994748263421801
1775270374,849000032,map,-29.6935796678017,-0.8239954176477425,0.0,0.0,-0.03241521508693606,0.9994744888344412
1775270374,857634720,map,-29.693577308121867,-0.823994402596459,0.0,0.0,-0.03241179037743327,0.9994745998996319
1775270375,49631072,map,-29.693580832759707,-0.8239894053119327,0.0,0.0,-0.03241824199312823,0.9994743906604486
1775270375,61932160,map,-29.693557835803645,-0.8239902464451504,0.0,0.0,-0.03241849809702335,0.9994743823536115
1775270375,261825120,map,-29.69626598644126,-0.8176066377001712,0.0,0.0,-0.0286315101598822,0.9995900342770353
1775270375,283463328,map,-29.665408463704363,-0.8169398396914782,0.0,0.0,-0.030869628746092514,0.999523419446027
1775270375,289619744,map,-29.665425536794856,-0.8169312878245498,0.0,0.0,-0.030870365183341093,0.9995233967013715
1775270375,306132352,map,-29.667629015755693,-0.8124934905397646,0.0,0.0,-0.03195352376701305,0.9994893557806761
1775270375,321356224,map,-29.645124147675055,-0.8029269394716357,0.0,0.0,-0.03683087213660997,0.9993215132566979
1775270375,327768032,map,-29.64511286071191,-0.8029387350111412,0.0,0.0,-0.0368268531325022,0.9993216613725318
1775270375,504379584,map,-29.645102004033216,-0.8029515641074646,0.0,0.0,-0.0368304579644806,0.9993215285212896
